handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_f7e20b59-9d54-0d43-8591-b48cf97fff44,Product,Blue-pink-white,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_c0966dcb3f0b47879031ec4fabafb553~mv2.jpg;522d56_2956fd9a751b4d2289687f26fa6da0f3~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_0978858e-2af9-101d-abf6-e458fc1d218f,Product,Green,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_f628c9ab05a347038e72903f8c8ce9e3~mv2.jpg;522d56_86f9f6613876439d89d308b7abfd6b13~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_4e65bc35-14a2-f0d0-3720-6fe3e0ddde6f,Product,Red,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_f8dd51344f3c4657bb6105e322f90656~mv2.jpg;522d56_7663d41a584a4344bf4e1e748b0c4876~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_2e361d3a-64fa-35e7-689f-be0c13b3464d,Product,Green-blue-gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_9347d1fc701841fe982b1a38543bc01c~mv2.jpg;522d56_19280e48cf6d48cea2e1f2fccd1cc5b8~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_8193db3d-ac05-84f1-2819-8b427fc61b31,Product,Blue White,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_308a3ddcc2bd4413ab132fa9f5af447a~mv2.jpg;522d56_3f7929f6e8904f9f96869eae1f8285c0~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_5b3f556f-b1e7-af33-28f0-17d867367a8d,Product,Brown Gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_a91624b32900416eb4e193c0d4ecef1a~mv2.jpg;522d56_e6cc044a4d814e7c9dc89d504c59d563~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_74983686-6eec-8ea5-ab26-b3e79c5efc1c,Product,-Red gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_7382182217b449e08f757582360d12f2~mv2.jpg;522d56_cb58b86239a54b529f11ccf225be931f~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_ffcc5fa6-06a6-356f-d7cf-bedce5c91286,Product,-Blue gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_c9b0e4d8d46c40168912d176854eaf90~mv2.jpg;522d56_d2b4a19edbe24fdca11473b433569ac0~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_ca8d59b1-aa14-2a8c-92b9-346f2632cf2f,Product,- Green Gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Midnight Sunrise is inlaid with Obsidian, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_e9726a5a10b9486e8356362f60f7b80c~mv2.jpg;522d56_77833f4a3ca3457c865ef84b33eafdba~mv2.jpg,Mandalas,,,300.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,8-12 in (20-30 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 11.5&nbsp;Inches (29&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_a5f8bf35-a903-0e57-6985-9badde3151f3,Product,copy of copy of Dream Whisper - Purple Gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Dream Whisper is inlaid with Rose Quartz, Carnelian and Amber, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_c0591e3064e04c16aa9c64463e9b265e~mv2.jpg,Mandalas,,,900.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,21-35 in (51-88 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 23&nbsp;Inches (58&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
product_071b09fb-6f5c-f243-3845-33c7fc6adf7a,Product,copy of Dream Whisper - Purple Gold,"<p>Mandalas are an expression of infinite awareness. All points guide us to our center and light our way home. Dream Whisper is inlaid with Rose Quartz, Carnelian and Amber, painted, stacked, glued, and born through multiple layers of laser cut wood.</p>",522d56_924b0354c9eb4c7cb9736c10c605c834~mv2.jpg,Mandalas,,,900.0,,false,PERCENT,0.0,1,,,Size,DROP_DOWN,21-35 in (51-88 cm),,,,,,,,,,,,,,,,Size,"<p>This measures around 23&nbsp;Inches (58&nbsp;cm)</p>
",,,,,,,,,,,,,,,,,
